Nombre y apellido,distancia,genero,tiempo,dorsal
Medalla oro M,10k,M,00:00:01,1
Medalla plata M,10k,M,00:00:02,2
Medalla bronce M,10k,M,00:00:03,3
Cuarto clasificado M,10k,M,00:00:07,4
Quinto clasificado M,10k,M,00:00:08,5
Medalla oro F,10k,F,00:00:04,6
Medalla plata F,10k,F,00:00:05,7
Medalla bronce F,10k,F,00:00:06,8
Cuarto clasificado F,10k,M,00:00:09,9
Quinto clasificado F,10k,M,00:00:10,10
Medalla oro M,5k,M,00:00:01,11
Medalla plata M,5k,M,00:00:02,12
Medalla bronce M,5k,M,00:00:03,13
Cuarto clasificado M,5k,M,00:00:07,14
Quinto clasificado M,5k,M,00:00:08,15
Medalla oro F,5k,F,00:00:04,16
Medalla plata F,5k,F,00:00:05,17
Medalla bronce F,5k,F,00:00:06,18
Cuarto clasificado F,5k,M,00:00:07,19
Quinto clasificado F,5k,M,00:00:08,20
